country,quarter,urate_gap,urate_gap_ratio,urate,urate_ceiling,urate_peak,urate_trough
chile,2010Q1,2.1765861568627445,1.31562591750568,9.072680666666667,6.896094509803922,0.0,0.0
chile,2010Q2,1.5164674705882346,1.2202843398165164,8.400604,6.884136529411765,0.0,0.0
chile,2010Q3,0.9510094509803917,1.1383854398131235,7.823187999999999,6.8721785490196075,0.0,0.0
chile,2010Q4,0.8817717647058814,1.1285340253837204,7.741992333333333,6.860220568627452,0.0,0.0
chile,2011Q1,0.6965200784313721,1.1017075600500383,7.544782666666666,6.848262588235294,0.0,0.0
chile,2011Q2,0.22528305882353017,1.0329539234640113,7.061587666666667,6.836304607843137,0.0,0.0
chile,2011Q3,0.44316170588235426,1.064938334770355,7.267508333333335,6.82434662745098,0.0,0.0
chile,2011Q4,0.5978746862745092,1.0877628563562114,7.410263333333333,6.812388647058824,0.0,0.0
chile,2012Q1,0.0,1.0,6.800430666666667,6.800430666666667,1.0,0.0
chile,2012Q2,0.0,1.0,6.533302333333334,6.533302333333334,0.0,0.0
chile,2012Q3,0.0,1.0,6.4010153333333335,6.4010153333333335,0.0,0.0
chile,2012Q4,0.0,1.0,6.594256666666666,6.594256666666666,0.0,0.0
chile,2013Q1,0.0,1.0,6.5310603333333335,6.5310603333333335,0.0,0.0
chile,2013Q2,0.0,1.0,5.983733666666667,5.983733666666667,0.0,0.0
chile,2013Q3,0.0,1.0,5.706482333333334,5.706482333333334,0.0,0.0
chile,2013Q4,0.0,1.0,6.296225,6.296225,0.0,0.0
chile,2014Q1,0.0,1.0,6.3690196666666665,6.3690196666666665,0.0,0.0
chile,2014Q2,0.0,1.0,6.225607666666666,6.225607666666666,0.0,0.0
chile,2014Q3,0.0,1.0,6.515410666666667,6.515410666666667,0.0,0.0
chile,2014Q4,0.0,1.0,6.571682666666667,6.571682666666667,0.0,0.0
chile,2015Q1,0.0,1.0,6.349909333333334,6.349909333333334,0.0,0.0
chile,2015Q2,0.0,1.0,6.448825666666667,6.448825666666667,0.0,0.0
chile,2015Q3,0.0,1.0,6.334805,6.334805,0.0,0.0
chile,2015Q4,0.0,1.0,6.335971000000001,6.335971000000001,0.0,0.0
chile,2016Q1,0.0,1.0,6.4615800000000005,6.4615800000000005,0.0,0.0
chile,2016Q2,0.23693666666666147,1.0359150309212033,6.834081666666667,6.597145000000006,0.0,0.0
chile,2016Q3,0.15900498039215183,1.0241458564378967,6.744192000000001,6.585187019607849,0.0,0.0
chile,2016Q4,0.11748596078430751,1.0178734013501416,6.690715,6.5732290392156925,0.0,0.0
chile,2017Q1,0.4770956078431299,1.0727139000303205,7.038366666666666,6.561271058823536,0.0,0.0
chile,2017Q2,0.4581979215686207,1.0699612182348692,7.007511,6.549313078431379,0.0,0.0
chile,2017Q3,0.24687123529411004,1.0377631674571501,6.784226333333333,6.537355098039223,0.0,0.0
chile,2017Q4,0.5322485490196005,1.0815656946885586,7.057645666666667,6.525397117647066,0.0,0.0
chile,2018Q1,0.6725755294117564,1.103259662866093,7.186014666666666,6.51343913725491,0.0,0.0
chile,2018Q2,0.8047775098039143,1.1237837179539338,7.306258666666667,6.501481156862753,0.0,0.0
chile,2018Q3,0.8618244901960699,1.1328024365982439,7.351347666666666,6.4895231764705965,0.0,0.0
chile,2018Q4,1.112368470588227,1.171726325697449,7.589933666666667,6.47756519607844,0.0,0.0
chile,2019Q1,0.7074047843137166,1.1094104174156256,7.173012,6.465607215686283,0.0,0.0
chile,2019Q2,0.6234670980392067,1.0966069080156309,7.077116333333334,6.453649235294127,0.0,0.0
chile,2019Q3,0.732710411764697,1.113745037253551,7.174401666666667,6.44169125490197,0.0,0.0
chile,2019Q4,1.1160517254901858,1.1735766753987584,7.5457849999999995,6.429733274509814,0.0,0.0
chile,2020Q1,1.9858773725490089,1.309433920874295,8.403652666666666,6.417775294117657,0.0,0.0
chile,2020Q2,5.3692726862745,1.8381869827554969,11.77509,6.405817313725501,0.0,1.0
