country,quarter,urate_gap,urate_gap_ratio,urate,urate_ceiling,urate_peak,urate_trough
korea,1990Q1,2.4333333333333336,inf,2.4333333333333336,0.0,0.0,0.0
korea,1990Q2,2.3000000000000003,inf,2.3000000000000003,0.0,0.0,0.0
korea,1990Q3,2.533333333333333,inf,2.533333333333333,0.0,0.0,0.0
korea,1990Q4,2.566666666666667,inf,2.566666666666667,0.0,0.0,0.0
korea,1991Q1,2.5,inf,2.5,0.0,0.0,0.0
korea,1991Q2,2.3,inf,2.3,0.0,0.0,0.0
korea,1991Q3,2.4,inf,2.4,0.0,0.0,0.0
korea,1991Q4,2.466666666666667,inf,2.466666666666667,0.0,0.0,0.0
korea,1992Q1,2.3979166666666667,1152.0000000001269,2.4,0.002083333333333104,0.0,0.0
korea,1992Q2,2.15,8.588235294117652,2.433333333333333,0.28333333333333316,0.0,0.0
korea,1992Q3,2.0020833333333337,4.546125461254614,2.566666666666667,0.5645833333333332,0.0,0.0
korea,1992Q4,1.7541666666666669,3.0738916256157642,2.6,0.8458333333333332,0.0,0.0
korea,1993Q1,1.7062500000000003,2.513863216266174,2.8333333333333335,1.1270833333333332,0.0,0.0
korea,1993Q2,1.5916666666666668,2.1301775147928996,3.0,1.4083333333333332,0.0,0.0
korea,1993Q3,1.2104166666666667,1.716399506781751,2.9,1.6895833333333332,0.0,0.0
korea,1993Q4,0.8625000000000003,1.437632135306554,2.8333333333333335,1.9708333333333332,0.0,0.0
korea,1994Q1,0.4479166666666674,1.1988899167437561,2.7000000000000006,2.252083333333333,0.0,0.0
korea,1994Q2,0.0,1.0,2.533333333333333,2.533333333333333,1.0,0.0
korea,1994Q3,0.0,1.0,2.433333333333333,2.433333333333333,0.0,0.0
korea,1994Q4,0.0,1.0,2.2333333333333334,2.2333333333333334,0.0,0.0
korea,1995Q1,0.0,1.0,2.1333333333333333,2.1333333333333333,0.0,0.0
korea,1995Q2,0.0,1.0,2.033333333333333,2.033333333333333,0.0,0.0
korea,1995Q3,0.0,1.0,2.1,2.1,0.0,0.0
korea,1995Q4,0.0,1.0,2.033333333333333,2.033333333333333,0.0,0.0
korea,1996Q1,0.0,1.0,1.9333333333333333,1.9333333333333333,0.0,0.0
korea,1996Q2,0.0,1.0,2.033333333333333,2.033333333333333,0.0,0.0
korea,1996Q3,0.0,1.0,2.033333333333333,2.033333333333333,0.0,0.0
korea,1996Q4,0.0,1.0,2.1999999999999997,2.1999999999999997,0.0,0.0
korea,1997Q1,0.0,1.0,2.6666666666666665,2.6666666666666665,0.0,0.0
korea,1997Q2,0.0,1.0,2.566666666666667,2.566666666666667,0.0,0.0
korea,1997Q3,0.0,1.0,2.433333333333333,2.433333333333333,0.0,0.0
korea,1997Q4,0.0,1.0,2.8000000000000003,2.8000000000000003,0.0,0.0
korea,1998Q1,0.0,1.0,4.966666666666666,4.966666666666666,0.0,1.0
korea,1998Q2,0.0,1.0,7.033333333333334,7.033333333333334,1.0,0.0
korea,1998Q3,1.068634259259257,1.1512639460017362,8.133333333333333,7.064699074074076,0.0,1.0
korea,1998Q4,0.8999999999999977,1.1273584905660374,7.966666666666666,7.066666666666668,0.0,0.0
korea,1999Q1,0.36076388888888733,1.0512504316085431,7.3999999999999995,7.039236111111112,0.0,0.0
korea,1999Q2,0.050925925925926485,1.0072934624055165,7.033333333333334,6.982407407407408,0.0,0.0
korea,1999Q3,0.0,1.0,6.366666666666667,6.366666666666667,0.0,0.0
korea,1999Q4,0.0,1.0,5.266666666666667,5.266666666666667,0.0,0.0
korea,2000Q1,0.0,1.0,4.8,4.8,0.0,0.0
korea,2000Q2,0.0,1.0,4.366666666666667,4.366666666666667,0.0,0.0
korea,2000Q3,0.0,1.0,4.3,4.3,0.0,0.0
korea,2000Q4,0.0,1.0,4.2,4.2,0.0,0.0
korea,2001Q1,0.0,1.0,4.533333333333333,4.533333333333333,0.0,0.0
korea,2001Q2,0.0,1.0,3.933333333333333,3.933333333333333,0.0,0.0
korea,2001Q3,0.0,1.0,3.733333333333333,3.733333333333333,0.0,0.0
korea,2001Q4,0.0,1.0,3.7000000000000006,3.7000000000000006,0.0,0.0
korea,2002Q1,0.0,1.0,3.466666666666667,3.466666666666667,0.0,0.0
korea,2002Q2,0.0,1.0,3.266666666666667,3.266666666666667,0.0,0.0
korea,2002Q3,0.0,1.0,3.1666666666666665,3.1666666666666665,0.0,0.0
korea,2002Q4,0.0,1.0,3.1,3.1,1.0,0.0
korea,2003Q1,0.38518518518518574,1.1336760925449874,3.266666666666667,2.8814814814814813,0.0,0.0
korea,2003Q2,0.8703703703703702,1.3268428372739915,3.533333333333333,2.662962962962963,0.0,0.0
korea,2003Q3,1.255555555555556,1.5136363636363637,3.7000000000000006,2.4444444444444446,0.0,0.0
korea,2003Q4,1.574074074074074,1.7071547420965056,3.8000000000000003,2.2259259259259263,0.0,0.0
korea,2004Q1,1.5259259259259252,1.7601476014760142,3.533333333333333,2.007407407407408,0.0,0.0
