country,quarter,urate_gap,urate_gap_ratio,urate,urate_ceiling,urate_peak,urate_trough
brazil,1981Q1,8.037163,2.51174887382918,13.35363,5.316467,0.0,0.0
brazil,1981Q2,8.804319666666665,2.656047082896718,14.120786666666666,5.316467,0.0,0.0
brazil,1981Q3,9.173472999999998,2.7254829193898877,14.489939999999999,5.316467,0.0,0.0
brazil,1981Q4,9.214903,2.733275688535262,14.53137,5.316467,0.0,0.0
brazil,1982Q1,9.064496333333334,2.7049849709089386,14.380963333333334,5.316467,0.0,0.0
brazil,1982Q2,5.299103,1.9967339212300197,10.61557,5.316467,0.0,0.0
brazil,1982Q3,4.878906333333334,1.9176970972138703,10.195373333333334,5.316467,0.0,0.0
brazil,1982Q4,4.258517,1.8010050659582764,9.574984,5.316467,0.0,0.0
brazil,1983Q1,5.539953,2.0420365630032125,10.85642,5.316467,0.0,0.0
brazil,1983Q2,6.6917263333333326,2.258679181744819,12.008193333333333,5.316467,0.0,0.0
brazil,1983Q3,7.0972230000000005,2.334951011639873,12.41369,5.316467,0.0,0.0
brazil,1983Q4,7.273712999999998,2.3681478696284577,12.590179999999998,5.316467,0.0,0.0
brazil,1984Q1,7.762622999999999,2.460109316958047,13.079089999999999,5.316467,0.0,0.0
brazil,1984Q2,8.135039666666668,2.5301589696064446,13.451506666666667,5.316467,0.0,0.0
brazil,1984Q3,7.354183,2.383283861255981,12.67065,5.316467,0.0,0.0
brazil,1984Q4,6.341729666666667,2.1928466153681883,11.658196666666667,5.316467,0.0,0.0
brazil,1985Q1,5.316459666666666,1.9999986206378533,10.632926666666666,5.316467,0.0,0.0
brazil,1985Q2,4.596232000000001,1.8645275142307853,9.912699000000002,5.316467,0.0,0.0
brazil,1985Q3,3.650230999999999,1.6865896092273307,8.966698,5.316467,0.0,0.0
brazil,1985Q4,2.703483666666666,1.5085113227763223,8.019950666666666,5.316467,0.0,0.0
brazil,1986Q1,1.8274756666666665,1.3437387397808858,7.143942666666667,5.316467,0.0,0.0
brazil,1986Q2,1.2616083333333332,1.237302015291985,6.5780753333333335,5.316467,0.0,0.0
brazil,1986Q3,0.7824149999999994,1.1471682228066118,6.098882,5.316467,0.0,0.0
brazil,1986Q4,0.5321359999999995,1.1000920348043164,5.848603,5.316467,0.0,0.0
brazil,1987Q1,0.0,1.0,5.316467,5.316467,1.0,0.0
brazil,1987Q2,1.1304093333333327,1.2126241606189472,6.446876333333333,5.316467,0.0,0.0
brazil,1987Q3,2.186869999999999,1.4113389587483565,7.503336999999999,5.316467,0.0,0.0
brazil,1987Q4,2.0938739999999996,1.3938468911779194,7.410341,5.316467,0.0,0.0
brazil,1988Q1,1.5446076666666668,1.2905327290974753,6.861074666666667,5.316467,0.0,0.0
brazil,1988Q2,1.264727333333333,1.2378886830922364,6.581194333333333,5.316467,0.0,0.0
brazil,1988Q3,1.7178886666666662,1.3231259907503736,7.0343556666666665,5.316467,0.0,0.0
brazil,1988Q4,1.702752666666667,1.3202789872798357,7.019219666666667,5.316467,0.0,0.0
brazil,1989Q1,1.3098213333333337,1.2463706317246648,6.626288333333334,5.316467,0.0,0.0
