country,quarter,urate_gap,urate_gap_ratio,urate,urate_ceiling,urate_peak,urate_trough
australia,1978Q1,0.8194574677419322,1.1449364436298077,6.4733665,5.653909032258068,0.0,0.0
australia,1978Q2,0.5760311827956963,1.1013420231734454,6.2600620000000005,5.684030817204304,0.0,0.0
australia,1978Q3,0.6081230645161266,1.1064240153977087,6.322275666666667,5.71415260215054,0.0,0.0
australia,1978Q4,0.5554132795698896,1.0966898936474032,6.299687666666666,5.744274387096777,0.0,0.0
australia,1979Q1,0.5354161612903203,1.0927224501641506,6.309812333333333,5.774396172043013,0.0,0.0
australia,1979Q2,0.5131867096774174,1.088411598255026,6.317704666666667,5.804517956989249,0.0,0.0
australia,1979Q3,0.3725305913978474,1.063848087949689,6.207170333333333,5.834639741935486,0.0,0.0
australia,1979Q4,0.31793080645161087,1.054210355356197,6.182692333333333,5.864761526881722,0.0,0.0
australia,1980Q1,0.1318856881720425,1.0223729090459546,6.026769000000001,5.894883311827958,0.0,0.0
australia,1980Q2,0.3027232365591397,1.0510924854265449,6.227728333333334,5.9250050967741945,0.0,0.0
australia,1980Q3,0.17544378494623558,1.0294609650526119,6.130570666666666,5.955126881720431,0.0,0.0
australia,1980Q4,0.0,1.0,5.985248666666667,5.985248666666667,1.0,0.0
australia,1981Q1,0.0,1.0,5.759334,5.759334,0.0,0.0
australia,1981Q2,0.0,1.0,5.505874333333334,5.505874333333334,0.0,0.0
australia,1981Q3,0.0,1.0,5.827328666666666,5.827328666666666,0.0,0.0
australia,1981Q4,0.0,1.0,5.964582,5.964582,0.0,0.0
australia,1982Q1,0.0,1.0,6.204338,6.204338,0.0,0.0
australia,1982Q2,0.31117322657259106,1.0497639746680454,6.5641549999999995,6.2529817734274085,0.0,0.0
australia,1982Q3,0.8129764873096885,1.129176264947028,7.106520333333333,6.293543846023645,0.0,0.0
australia,1982Q4,2.4587774466745653,1.3882517695049823,8.791723333333334,6.332945886658768,0.0,0.0
australia,1983Q1,3.265128438000551,1.5124834633102602,9.636316333333333,6.371187895332782,0.0,0.0
australia,1983Q2,3.818123461287649,1.595811902046005,10.226393333333332,6.408269872045683,0.0,1.0
australia,1983Q3,3.9144915165358585,1.607444909745287,10.358683333333333,6.444191816797475,0.0,0.0
australia,1983Q4,3.227138270411845,1.4980955884395524,9.706092,6.478953729588155,0.0,0.0
australia,1984Q1,2.851196056248943,1.4377998786970916,9.363751666666667,6.512555610417724,0.0,0.0
australia,1984Q2,2.589354540713817,1.3956234600274726,9.134352,6.544997459286183,0.0,0.0
australia,1984Q3,2.2504040571398036,1.3422001959810896,8.826683333333333,6.57627927619353,0.0,0.0
australia,1984Q4,2.0245732721935665,1.3064563070659652,8.630974333333333,6.606401061139766,0.0,0.0
australia,1985Q1,1.8988435192084383,1.286170262636779,8.534206333333332,6.6353628141248935,0.0,0.0
australia,1985Q2,1.7865897981844263,1.2681293233507853,8.449754333333333,6.663164535148907,0.0,0.0
australia,1985Q3,1.483152109121522,1.2217032989316916,8.172958333333334,6.689806224211812,0.0,0.0
australia,1985Q4,1.1455494520197291,1.1705882863499284,7.8608373333333335,6.715287881313604,0.0,0.0
australia,1986Q1,1.171120826879049,1.1737668667238819,7.910730333333333,6.7396095064542845,0.0,0.0
australia,1986Q2,1.0374449003661432,1.153405295711149,7.800216,6.762771099633857,0.0,0.0
australia,1986Q3,1.4427656724810172,1.2126476073112484,8.227538333333333,6.784772660852316,0.0,0.0
australia,1986Q4,1.5246834765570014,1.2240331928854804,8.330297666666667,6.805614190109665,0.0,0.0
australia,1987Q1,1.4511883125940974,1.212619112644723,8.276484,6.8252956874059025,0.0,0.0
australia,1987Q2,1.3262851805923042,1.1937931933294144,8.170102333333334,6.84381715274103,0.0,0.0
australia,1987Q3,1.1164187472182894,1.162715302219007,7.9775973333333345,6.861178586115045,0.0,0.0
australia,1987Q4,1.037196012472049,1.1508126662119864,7.914576,6.877379987527951,0.0,0.0
australia,1988Q1,0.6237346430202546,1.0904957214185138,7.516156,6.892421356979745,0.0,0.0
australia,1988Q2,0.7422769721962386,1.1074781985432736,7.6485796666666666,6.906302694470428,0.0,0.0
australia,1988Q3,0.0,1.0,6.919024,6.919024,1.0,0.0
australia,1988Q4,0.0,1.0,6.753962333333334,6.753962333333334,0.0,0.0
australia,1989Q1,0.0,1.0,6.595837333333333,6.595837333333333,0.0,0.0
australia,1989Q2,0.0,1.0,6.163663,6.163663,0.0,0.0
